country,sector,winner,loser,rationale
"Bahamas, The",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.1%) relative to coal power assets (Avg: 0.0%).
Bahrain,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 13.4% of land) over standing forestry infrastructure (Avg: 0.6%).
Bahrain,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.0%) relative to coal power assets (Avg: 0.0%).
Bangladesh,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 73.8% of land) over standing forestry infrastructure (Avg: 14.6%).
Bangladesh,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 4.4%) relative to coal power assets (Avg: 1.3%).
Barbados,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 39.5% of land) over standing forestry infrastructure (Avg: 14.7%).
Barbados,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.2%) relative to coal power assets (Avg: 0.0%).
Belarus,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 43.8% of land) over standing forestry infrastructure (Avg: 41.6%).
Belarus,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.6%) relative to coal power assets (Avg: 0.0%).
Belgium,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 44.8% of land) over standing forestry infrastructure (Avg: 22.5%).
Belgium,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 12.4%) over renewable infrastructures (Avg: 8.6%).
Belize,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 62.2% forest cover) relative to agricultural developments (Avg: 5.5%).
Belize,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 73.5%) relative to coal power assets (Avg: 0.0%).
Benin,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 34.3% forest cover) relative to agricultural developments (Avg: 23.9%).
Benin,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.0%) relative to coal power assets (Avg: 0.0%).
Bhutan,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 67.1% forest cover) relative to agricultural developments (Avg: 11.2%).
Bhutan,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 100.0%) relative to coal power assets (Avg: 0.0%).
Bolivia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 49.8% forest cover) relative to agricultural developments (Avg: 32.3%).
Bolivia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 41.8%) relative to coal power assets (Avg: 0.0%).
Bosnia and Herzegovina,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 42.4% of land) over standing forestry infrastructure (Avg: 41.8%).
Bosnia and Herzegovina,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 55.2%) over renewable infrastructures (Avg: 44.4%).
Botswana,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 45.8% of land) over standing forestry infrastructure (Avg: 29.8%).
Botswana,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 96.1%) over renewable infrastructures (Avg: 0.1%).
Brazil,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 63.8% forest cover) relative to agricultural developments (Avg: 26.3%).
Brazil,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 86.4%) relative to coal power assets (Avg: 2.8%).
Brunei Darussalam,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 74.1% forest cover) relative to agricultural developments (Avg: 2.9%).
Brunei Darussalam,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 2.3%) over renewable infrastructures (Avg: 0.0%).
Bulgaria,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 51.8% of land) over standing forestry infrastructure (Avg: 32.9%).
Bulgaria,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 44.8%) over renewable infrastructures (Avg: 10.6%).
Burkina Faso,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 39.2% of land) over standing forestry infrastructure (Avg: 25.3%).
Burkina Faso,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 14.2%) relative to coal power assets (Avg: 0.0%).
Burundi,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 75.4% of land) over standing forestry infrastructure (Avg: 9.1%).
Burundi,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 90.9%) relative to coal power assets (Avg: 0.0%).
Cabo Verde,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 17.5% of land) over standing forestry infrastructure (Avg: 9.4%).
Cabo Verde,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 10.3%) relative to coal power assets (Avg: 0.0%).
Cambodia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 57.0% forest cover) relative to agricultural developments (Avg: 23.9%).
Cambodia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 20.6%) relative to coal power assets (Avg: 14.3%).
Cameroon,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 44.9% forest cover) relative to agricultural developments (Avg: 18.9%).
Cameroon,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 82.0%) relative to coal power assets (Avg: 0.0%).
Canada,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 38.8% forest cover) relative to agricultural developments (Avg: 6.8%).
Canada,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 62.2%) relative to coal power assets (Avg: 13.4%).
Caribbean small states,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 90.7% forest cover) relative to agricultural developments (Avg: 3.8%).
Caribbean small states,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 4.4%) relative to coal power assets (Avg: 0.0%).
Central African Republic,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 36.5% forest cover) relative to agricultural developments (Avg: 7.9%).
Central African Republic,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 98.8%) relative to coal power assets (Avg: 0.0%).
Central Electricity Board (CEB),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 56.9% of land) over standing forestry infrastructure (Avg: 33.0%).
Central Electricity Board (CEB),Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 65.2%) over renewable infrastructures (Avg: 9.4%).
Chad,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 38.6% of land) over standing forestry infrastructure (Avg: 4.5%).
Chad,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 6.5%) relative to coal power assets (Avg: 0.0%).
Chile,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 22.3% forest cover) relative to agricultural developments (Avg: 20.1%).
Chile,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 52.3%) relative to coal power assets (Avg: 25.7%).
China,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 50.0% of land) over standing forestry infrastructure (Avg: 20.3%).
China,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 74.0%) over renewable infrastructures (Avg: 19.7%).
Colombia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 55.6% forest cover) relative to agricultural developments (Avg: 39.6%).
Colombia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 74.4%) relative to coal power assets (Avg: 7.2%).
Comoros,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 61.9% of land) over standing forestry infrastructure (Avg: 21.0%).
Comoros,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 5.9%) relative to coal power assets (Avg: 0.0%).
"Congo, Dem. Rep.",Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 61.2% forest cover) relative to agricultural developments (Avg: 11.9%).
"Congo, Dem. Rep.",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 97.5%) relative to coal power assets (Avg: 0.0%).
"Congo, Rep.",Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 64.8% forest cover) relative to agricultural developments (Avg: 30.9%).
"Congo, Rep.",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 71.4%) relative to coal power assets (Avg: 0.0%).
Costa Rica,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 57.0% forest cover) relative to agricultural developments (Avg: 38.9%).
Costa Rica,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 94.0%) relative to coal power assets (Avg: 0.0%).
Cote d'Ivoire,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 60.9% of land) over standing forestry infrastructure (Avg: 14.7%).
Cote d'Ivoire,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 35.7%) relative to coal power assets (Avg: 0.0%).
Croatia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 34.0% forest cover) relative to agricultural developments (Avg: 27.9%).
Croatia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 57.7%) relative to coal power assets (Avg: 12.3%).
Cuba,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 56.7% of land) over standing forestry infrastructure (Avg: 25.7%).
Cuba,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 5.6%) relative to coal power assets (Avg: 0.0%).
Cyprus,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 21.9% of land) over standing forestry infrastructure (Avg: 18.4%).
Cyprus,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 3.1%) relative to coal power assets (Avg: 0.0%).
Czechia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 48.8% of land) over standing forestry infrastructure (Avg: 34.4%).
Czechia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 61.1%) over renewable infrastructures (Avg: 6.7%).
Denmark,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 70.0% of land) over standing forestry infrastructure (Avg: 14.6%).
Denmark,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 46.7%) over renewable infrastructures (Avg: 31.2%).
Djibouti,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 63.4% of land) over standing forestry infrastructure (Avg: 0.2%).
Djibouti,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.8%) relative to coal power assets (Avg: 0.0%).
Dominica,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 64.4% forest cover) relative to agricultural developments (Avg: 27.2%).
Dominica,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 31.2%) relative to coal power assets (Avg: 0.0%).
Dominican Republic,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 50.8% of land) over standing forestry infrastructure (Avg: 41.0%).
Dominican Republic,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 12.1%) relative to coal power assets (Avg: 10.9%).
Early-demographic dividend,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 37.7% of land) over standing forestry infrastructure (Avg: 24.0%).
Early-demographic dividend,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 35.0%) over renewable infrastructures (Avg: 27.0%).
East Asia & Pacific,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 48.0% of land) over standing forestry infrastructure (Avg: 26.6%).
East Asia & Pacific,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 42.5%) over renewable infrastructures (Avg: 20.8%).
East Asia & Pacific (IDA & IBRD),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 44.3% of land) over standing forestry infrastructure (Avg: 29.5%).
East Asia & Pacific (IDA & IBRD),Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 61.3%) over renewable infrastructures (Avg: 20.7%).
East Asia & Pacific (excluding high income),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 44.1% of land) over standing forestry infrastructure (Avg: 29.7%).
East Asia & Pacific (excluding high income),Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 60.9%) over renewable infrastructures (Avg: 21.6%).
Ecuador,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 52.5% forest cover) relative to agricultural developments (Avg: 24.7%).
Ecuador,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 63.8%) relative to coal power assets (Avg: 0.0%).
"Egypt, Arab Rep.",Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 3.1% of land) over standing forestry infrastructure (Avg: 0.1%).
"Egypt, Arab Rep.",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 14.6%) relative to coal power assets (Avg: 0.0%).
El Salvador,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 59.8% of land) over standing forestry infrastructure (Avg: 31.2%).
El Salvador,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 65.3%) relative to coal power assets (Avg: 0.0%).
Equatorial Guinea,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 91.5% forest cover) relative to agricultural developments (Avg: 4.1%).
Equatorial Guinea,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 6.9%) relative to coal power assets (Avg: 0.0%).
Eritrea,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 66.7% of land) over standing forestry infrastructure (Avg: 9.7%).
Eritrea,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.9%) relative to coal power assets (Avg: 0.0%).
Estonia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 54.5% forest cover) relative to agricultural developments (Avg: 22.9%).
Estonia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 86.2%) over renewable infrastructures (Avg: 7.5%).
Eswatini,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 75.7% of land) over standing forestry infrastructure (Avg: 27.9%).
Eswatini,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 77.6%) relative to coal power assets (Avg: 14.7%).
Ethiopia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 31.7% of land) over standing forestry infrastructure (Avg: 16.7%).
Ethiopia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 92.7%) relative to coal power assets (Avg: 0.0%).
Euro area,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 48.9% of land) over standing forestry infrastructure (Avg: 37.0%).
Euro area,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 31.5%) over renewable infrastructures (Avg: 21.8%).
Europe & Central Asia (IDA & IBRD),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 41.8% of land) over standing forestry infrastructure (Avg: 39.0%).
Europe & Central Asia (IDA & IBRD),Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 50.0%) over renewable infrastructures (Avg: 14.3%).
Europe & Central Asia (excluding high income),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 58.8% of land) over standing forestry infrastructure (Avg: 10.5%).
Europe & Central Asia (excluding high income),Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 32.5%) over renewable infrastructures (Avg: 32.1%).
European Union,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 46.9% of land) over standing forestry infrastructure (Avg: 38.5%).
European Union,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 34.9%) over renewable infrastructures (Avg: 22.5%).
Fiji,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 57.3% forest cover) relative to agricultural developments (Avg: 17.2%).
Fiji,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 59.2%) relative to coal power assets (Avg: 0.0%).
Finland,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 73.3% forest cover) relative to agricultural developments (Avg: 8.0%).
Finland,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 34.8%) relative to coal power assets (Avg: 20.3%).
Fragile and conflict affected situations,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 30.8% of land) over standing forestry infrastructure (Avg: 26.2%).
Fragile and conflict affected situations,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 33.9%) relative to coal power assets (Avg: 10.3%).
France,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 56.3% of land) over standing forestry infrastructure (Avg: 29.1%).
France,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 15.3%) relative to coal power assets (Avg: 4.4%).
Gabon,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 91.8% forest cover) relative to agricultural developments (Avg: 7.7%).
Gabon,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 55.7%) relative to coal power assets (Avg: 0.0%).
"Gambia, The",Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 56.1% of land) over standing forestry infrastructure (Avg: 31.9%).
"Gambia, The",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.2%) relative to coal power assets (Avg: 0.0%).
Georgia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 40.2% forest cover) relative to agricultural developments (Avg: 38.5%).
Georgia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 78.0%) relative to coal power assets (Avg: 0.0%).
Germany,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 51.1% of land) over standing forestry infrastructure (Avg: 32.6%).
Germany,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 46.3%) over renewable infrastructures (Avg: 16.4%).
Ghana,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 53.9% of land) over standing forestry infrastructure (Avg: 37.6%).
Ghana,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 72.9%) relative to coal power assets (Avg: 0.0%).
Greece,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 64.8% of land) over standing forestry infrastructure (Avg: 28.8%).
Greece,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 51.5%) over renewable infrastructures (Avg: 15.7%).
