country,sector,winner,loser,rationale
Brunei Darussalam,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.1 MJ/$) and controlled environmental particulate exposure (7.4 µg/m³).
Bulgaria,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.1 MJ/$) and controlled environmental particulate exposure (23.8 µg/m³).
Burkina Faso,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.4 MJ/$) alongside elevated annual PM2.5 exposure (58.4 µg/m³).
Burundi,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (8.5 MJ/$) alongside elevated annual PM2.5 exposure (29.8 µg/m³).
Cabo Verde,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.7 MJ/$) and controlled environmental particulate exposure (40.7 µg/m³).
Cambodia,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.4 MJ/$) alongside elevated annual PM2.5 exposure (27.1 µg/m³).
Cameroon,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.8 MJ/$) and controlled environmental particulate exposure (41.6 µg/m³).
Canada,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (7.2 MJ/$) and controlled environmental particulate exposure (8.8 µg/m³).
Central African Republic,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (7.8 MJ/$) alongside elevated annual PM2.5 exposure (33.5 µg/m³).
Chad,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.6 MJ/$) and controlled environmental particulate exposure (54.0 µg/m³).
Chile,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.9 MJ/$) and controlled environmental particulate exposure (25.3 µg/m³).
China,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (8.6 MJ/$) alongside elevated annual PM2.5 exposure (48.7 µg/m³).
Colombia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.5 MJ/$) and controlled environmental particulate exposure (21.6 µg/m³).
Comoros,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.0 MJ/$) and controlled environmental particulate exposure (11.4 µg/m³).
"Congo, Dem. Rep.",Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (15.0 MJ/$) alongside elevated annual PM2.5 exposure (26.2 µg/m³).
"Congo, Rep.",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.9 MJ/$) and controlled environmental particulate exposure (27.1 µg/m³).
Costa Rica,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.4 MJ/$) and controlled environmental particulate exposure (19.0 µg/m³).
Cote d'Ivoire,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.6 MJ/$) and controlled environmental particulate exposure (47.6 µg/m³).
Croatia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.6 MJ/$) and controlled environmental particulate exposure (22.3 µg/m³).
Cuba,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.0 MJ/$) and controlled environmental particulate exposure (20.2 µg/m³).
Cyprus,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.1 MJ/$) and controlled environmental particulate exposure (18.6 µg/m³).
Czechia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.2 MJ/$) and controlled environmental particulate exposure (20.9 µg/m³).
Denmark,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.6 MJ/$) and controlled environmental particulate exposure (13.9 µg/m³).
Djibouti,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.0 MJ/$) and controlled environmental particulate exposure (40.4 µg/m³).
Dominica,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.9 MJ/$) and controlled environmental particulate exposure (19.5 µg/m³).
Dominican Republic,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.7 MJ/$) and controlled environmental particulate exposure (18.3 µg/m³).
Ecuador,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.3 MJ/$) and controlled environmental particulate exposure (34.1 µg/m³).
"Egypt, Arab Rep.",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.5 MJ/$) and controlled environmental particulate exposure (63.8 µg/m³).
El Salvador,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.6 MJ/$) and controlled environmental particulate exposure (27.9 µg/m³).
Equatorial Guinea,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.9 MJ/$) and controlled environmental particulate exposure (32.6 µg/m³).
Eritrea,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.6 MJ/$) alongside elevated annual PM2.5 exposure (40.6 µg/m³).
Estonia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.9 MJ/$) and controlled environmental particulate exposure (10.3 µg/m³).
Eswatini,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.9 MJ/$) and controlled environmental particulate exposure (22.1 µg/m³).
Ethiopia,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (13.3 MJ/$) alongside elevated annual PM2.5 exposure (27.7 µg/m³).
Fiji,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.4 MJ/$) and controlled environmental particulate exposure (11.9 µg/m³).
Finland,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.9 MJ/$) and controlled environmental particulate exposure (7.3 µg/m³).
France,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.8 MJ/$) and controlled environmental particulate exposure (14.5 µg/m³).
Gabon,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.4 MJ/$) alongside elevated annual PM2.5 exposure (27.4 µg/m³).
"Gambia, The",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.2 MJ/$) and controlled environmental particulate exposure (58.0 µg/m³).
Georgia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.1 MJ/$) and controlled environmental particulate exposure (17.5 µg/m³).
Germany,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.4 MJ/$) and controlled environmental particulate exposure (16.7 µg/m³).
Ghana,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.4 MJ/$) and controlled environmental particulate exposure (54.2 µg/m³).
Greece,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.2 MJ/$) and controlled environmental particulate exposure (21.2 µg/m³).
Grenada,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.6 MJ/$) and controlled environmental particulate exposure (23.3 µg/m³).
Guatemala,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.2 MJ/$) and controlled environmental particulate exposure (32.1 µg/m³).
Guinea,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (7.0 MJ/$) alongside elevated annual PM2.5 exposure (45.5 µg/m³).
Guinea-Bissau,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (9.1 MJ/$) alongside elevated annual PM2.5 exposure (52.2 µg/m³).
Guyana,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.6 MJ/$) and controlled environmental particulate exposure (24.9 µg/m³).
Haiti,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.3 MJ/$) and controlled environmental particulate exposure (19.6 µg/m³).
Honduras,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.8 MJ/$) and controlled environmental particulate exposure (27.2 µg/m³).
Hungary,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.2 MJ/$) and controlled environmental particulate exposure (20.8 µg/m³).
Iceland,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (12.6 MJ/$) and controlled environmental particulate exposure (6.8 µg/m³).
India,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.4 MJ/$) alongside elevated annual PM2.5 exposure (62.5 µg/m³).
Indonesia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.1 MJ/$) and controlled environmental particulate exposure (23.7 µg/m³).
"Iran, Islamic Rep.",Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (8.1 MJ/$) alongside elevated annual PM2.5 exposure (35.8 µg/m³).
Iraq,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.5 MJ/$) alongside elevated annual PM2.5 exposure (42.1 µg/m³).
Ireland,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.1 MJ/$) and controlled environmental particulate exposure (11.3 µg/m³).
Israel,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.3 MJ/$) and controlled environmental particulate exposure (24.1 µg/m³).
Italy,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.7 MJ/$) and controlled environmental particulate exposure (22.7 µg/m³).
Jamaica,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.6 MJ/$) and controlled environmental particulate exposure (15.8 µg/m³).
Japan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.9 MJ/$) and controlled environmental particulate exposure (12.7 µg/m³).
Jordan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.0 MJ/$) and controlled environmental particulate exposure (28.3 µg/m³).
Kazakhstan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (7.8 MJ/$) and controlled environmental particulate exposure (19.6 µg/m³).
Kenya,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.3 MJ/$) and controlled environmental particulate exposure (20.4 µg/m³).
Kiribati,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.9 MJ/$) and controlled environmental particulate exposure (11.5 µg/m³).
"Korea, Dem. People's Rep.",Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.8 MJ/$) alongside elevated annual PM2.5 exposure (39.4 µg/m³).
"Korea, Rep.",Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.0 MJ/$) alongside elevated annual PM2.5 exposure (25.2 µg/m³).
Kuwait,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.8 MJ/$) alongside elevated annual PM2.5 exposure (58.0 µg/m³).
Kyrgyz Republic,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.7 MJ/$) alongside elevated annual PM2.5 exposure (25.2 µg/m³).
Lao PDR,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.7 MJ/$) and controlled environmental particulate exposure (26.3 µg/m³).
Latvia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.8 MJ/$) and controlled environmental particulate exposure (19.6 µg/m³).
Lebanon,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.2 MJ/$) and controlled environmental particulate exposure (19.0 µg/m³).
Lesotho,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (10.3 MJ/$) and controlled environmental particulate exposure (24.5 µg/m³).
Liberia,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (13.2 MJ/$) alongside elevated annual PM2.5 exposure (38.7 µg/m³).
Libya,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.2 MJ/$) alongside elevated annual PM2.5 exposure (38.4 µg/m³).
Lithuania,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.3 MJ/$) and controlled environmental particulate exposure (15.8 µg/m³).
Luxembourg,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.8 MJ/$) and controlled environmental particulate exposure (13.3 µg/m³).
Madagascar,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (8.3 MJ/$) and controlled environmental particulate exposure (12.7 µg/m³).
Malawi,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.1 MJ/$) and controlled environmental particulate exposure (22.8 µg/m³).
Malaysia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.2 MJ/$) and controlled environmental particulate exposure (21.7 µg/m³).
Maldives,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.4 MJ/$) and controlled environmental particulate exposure (16.1 µg/m³).
Mali,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.5 MJ/$) alongside elevated annual PM2.5 exposure (63.1 µg/m³).
Malta,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.2 MJ/$) and controlled environmental particulate exposure (16.2 µg/m³).
Marshall Islands,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (11.4 MJ/$) and controlled environmental particulate exposure (11.1 µg/m³).
Mauritania,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.9 MJ/$) and controlled environmental particulate exposure (77.3 µg/m³).
Mauritius,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.5 MJ/$) and controlled environmental particulate exposure (9.5 µg/m³).
Mexico,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.3 MJ/$) and controlled environmental particulate exposure (24.9 µg/m³).
"Micronesia, Fed. Sts.",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.2 MJ/$) and controlled environmental particulate exposure (12.4 µg/m³).
Moldova,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.1 MJ/$) and controlled environmental particulate exposure (24.6 µg/m³).
Mongolia,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (7.5 MJ/$) alongside elevated annual PM2.5 exposure (25.2 µg/m³).
Montenegro,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.0 MJ/$) and controlled environmental particulate exposure (25.5 µg/m³).
Morocco,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.2 MJ/$) and controlled environmental particulate exposure (24.3 µg/m³).
Mozambique,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (16.3 MJ/$) and controlled environmental particulate exposure (20.0 µg/m³).
Myanmar,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.3 MJ/$) alongside elevated annual PM2.5 exposure (37.2 µg/m³).
Namibia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.5 MJ/$) and controlled environmental particulate exposure (20.4 µg/m³).
Nauru,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (10.1 MJ/$) and controlled environmental particulate exposure (6.0 µg/m³).
Nepal,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.0 MJ/$) alongside elevated annual PM2.5 exposure (59.4 µg/m³).
Netherlands,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.6 MJ/$) and controlled environmental particulate exposure (17.3 µg/m³).
New Zealand,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.6 MJ/$) and controlled environmental particulate exposure (6.8 µg/m³).
Nicaragua,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.7 MJ/$) and controlled environmental particulate exposure (22.6 µg/m³).
Niger,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.4 MJ/$) alongside elevated annual PM2.5 exposure (85.1 µg/m³).
Nigeria,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (7.5 MJ/$) alongside elevated annual PM2.5 exposure (59.4 µg/m³).
North Macedonia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.3 MJ/$) and controlled environmental particulate exposure (36.6 µg/m³).
Norway,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.9 MJ/$) and controlled environmental particulate exposure (9.0 µg/m³).
Oman,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.1 MJ/$) alongside elevated annual PM2.5 exposure (45.3 µg/m³).
Pakistan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.4 MJ/$) and controlled environmental particulate exposure (58.6 µg/m³).
Palau,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (12.1 MJ/$) and controlled environmental particulate exposure (7.1 µg/m³).
Panama,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (1.7 MJ/$) and controlled environmental particulate exposure (16.5 µg/m³).
Papua New Guinea,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.8 MJ/$) and controlled environmental particulate exposure (17.0 µg/m³).
Paraguay,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.3 MJ/$) and controlled environmental particulate exposure (12.4 µg/m³).
Peru,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.6 MJ/$) and controlled environmental particulate exposure (56.1 µg/m³).
Philippines,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.3 MJ/$) and controlled environmental particulate exposure (27.3 µg/m³).
Poland,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.5 MJ/$) and controlled environmental particulate exposure (26.3 µg/m³).
Portugal,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.9 MJ/$) and controlled environmental particulate exposure (11.9 µg/m³).
Qatar,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (7.7 MJ/$) alongside elevated annual PM2.5 exposure (87.9 µg/m³).
Romania,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.6 MJ/$) and controlled environmental particulate exposure (20.1 µg/m³).
Russian Federation,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (8.9 MJ/$) and controlled environmental particulate exposure (17.8 µg/m³).
Rwanda,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.3 MJ/$) alongside elevated annual PM2.5 exposure (30.8 µg/m³).
Samoa,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.8 MJ/$) and controlled environmental particulate exposure (12.7 µg/m³).
Sao Tome and Principe,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.4 MJ/$) and controlled environmental particulate exposure (23.2 µg/m³).
Saudi Arabia,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.8 MJ/$) alongside elevated annual PM2.5 exposure (55.5 µg/m³).
Senegal,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.0 MJ/$) and controlled environmental particulate exposure (63.4 µg/m³).
Serbia,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.5 MJ/$) alongside elevated annual PM2.5 exposure (30.9 µg/m³).
Seychelles,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.1 MJ/$) and controlled environmental particulate exposure (9.7 µg/m³).
Sierra Leone,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (7.1 MJ/$) alongside elevated annual PM2.5 exposure (40.8 µg/m³).
Singapore,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.0 MJ/$) and controlled environmental particulate exposure (18.9 µg/m³).
