country,sector,winner,loser,rationale
Georgia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 16.0 distinct environmental enforcement clauses across 8 agreements."
Ghana,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Greece,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Guatemala,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.4 distinct environmental enforcement clauses across 11 agreements."
Guinea,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.7 environmental provisions per agreement."
Guyana,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.5 environmental provisions per agreement."
Honduras,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 23.2 distinct environmental enforcement clauses across 6 agreements."
Hungary,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.4 distinct environmental enforcement clauses across 9 agreements."
Iceland,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.3 environmental provisions per agreement."
India,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 11.9 distinct environmental enforcement clauses across 13 agreements."
Indonesia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 28.0 distinct environmental enforcement clauses across 1 agreements."
Iraq,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Ireland,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Israel,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 8.2 distinct environmental enforcement clauses across 19 agreements."
Japan,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 26.4 distinct environmental enforcement clauses across 14 agreements."
Jordan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 4.6 environmental provisions per agreement."
Kazakhstan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 4.2 environmental provisions per agreement."
Kuwait,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Latvia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.9 distinct environmental enforcement clauses across 15 agreements."
Lebanon,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 6.2 distinct environmental enforcement clauses across 6 agreements."
Libya,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Liechtenstein,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.0 environmental provisions per agreement."
Lithuania,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.7 distinct environmental enforcement clauses across 15 agreements."
Malawi,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.0 distinct environmental enforcement clauses across 2 agreements."
Malaysia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 31.2 distinct environmental enforcement clauses across 6 agreements."
Malta,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Mauritania,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Mauritius,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 6.0 distinct environmental enforcement clauses across 2 agreements."
Mexico,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 11.4 distinct environmental enforcement clauses across 26 agreements."
Moldova,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 15.1 distinct environmental enforcement clauses across 11 agreements."
Montenegro,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 17.2 distinct environmental enforcement clauses across 6 agreements."
Morocco,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 6.4 distinct environmental enforcement clauses across 17 agreements."
Mozambique,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.0 distinct environmental enforcement clauses across 1 agreements."
Namibia,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Nepal,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.5 environmental provisions per agreement."
New Zealand,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 33.0 distinct environmental enforcement clauses across 11 agreements."
Nicaragua,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 14.2 distinct environmental enforcement clauses across 8 agreements."
North America,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 99.0 distinct environmental enforcement clauses across 1 agreements."
Norway,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 3.2 environmental provisions per agreement."
Oman,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 14.8 distinct environmental enforcement clauses across 12 agreements."
Pakistan,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.3 distinct environmental enforcement clauses across 6 agreements."
Panama,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 22.5 distinct environmental enforcement clauses across 17 agreements."
Papua New Guinea,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.0 environmental provisions per agreement."
Paraguay,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.2 environmental provisions per agreement."
Peru,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 32.5 distinct environmental enforcement clauses across 20 agreements."
Philippines,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 24.0 distinct environmental enforcement clauses across 1 agreements."
Poland,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.4 distinct environmental enforcement clauses across 8 agreements."
Portugal,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.3 environmental provisions per agreement."
Qatar,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Romania,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.4 distinct environmental enforcement clauses across 11 agreements."
San Marino,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.0 distinct environmental enforcement clauses across 1 agreements."
Saudi Arabia,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Senegal,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Serbia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.7 distinct environmental enforcement clauses across 10 agreements."
Singapore,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 20.2 distinct environmental enforcement clauses across 13 agreements."
Slovak Republic,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 5.0 distinct environmental enforcement clauses across 1 agreements."
Slovenia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 8.3 distinct environmental enforcement clauses across 15 agreements."
South Africa,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 12.3 distinct environmental enforcement clauses across 3 agreements."
Spain,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Sri Lanka,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.5 environmental provisions per agreement."
Sudan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.3 environmental provisions per agreement."
Suriname,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Sweden,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.8 environmental provisions per agreement."
Switzerland,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 15.1 distinct environmental enforcement clauses across 8 agreements."
Tajikistan,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 6.0 distinct environmental enforcement clauses across 1 agreements."
Thailand,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 21.2 distinct environmental enforcement clauses across 5 agreements."
Trinidad and Tobago,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Tunisia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 5.3 distinct environmental enforcement clauses across 9 agreements."
Turkmenistan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 3.3 environmental provisions per agreement."
Ukraine,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 11.8 distinct environmental enforcement clauses across 17 agreements."
United States,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.0 distinct environmental enforcement clauses across 1 agreements."
Uruguay,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 3.1 environmental provisions per agreement."
Uzbekistan,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 6.5 distinct environmental enforcement clauses across 2 agreements."
Zimbabwe,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.3 environmental provisions per agreement."
